Producer,Category,Product,Calories (100g),Lipides (Fat),Saturés ,Glucides (Carbs),Sucre,Protein,Sel,Portion Size
Saida,BISCUITS,gauffrette MANDARINE-CITRON,"	29,76Kcal","	28,96g",-,"59,79g",-,"	3,46g",-,-
Saida,BISCUITS,BREAK KIDS CHOCOLAT,	340Kcal,"	12,5g",-,"	52,6g",-,"	4,5g",-,-
Saida,BISCUITS,PLUM-CAKES,"	359,12 Kcal","	17,74 g","8,01 g","44,30 g","25,02 g","	5,58 g","	0,193 g",100g
Saida,CHOCOLAT,FALFOUL NOUNOURS,	364Kcal,"	0,3g",-,"	90,9g",-,"	0,37g",-,-
Saida,CHOCOLAT,HAPPYFULL FRUITS / HAPPYFULL CUBIES,	369 Kcal,0,-,	92 g,	54 g,0,0.36 g,-
Saida,CHOCOLAT,MAESTRO PASSION COFFRET DE 20 PIÈCES,"	371,6Kcal","	16,5g",-,"	51,15g",-,"	4,6g",-,-
Saida,CHOCOLAT,MAESTRO PASSION MINI COFFRET DE 6 PIÈCES,"	371,6Kcal","	16,5g",-,"	51,15g",-,"	4,6g",-,-
Saida,CHOCOLAT,MAESTRO PASSION STAND POUCH 12 PIÈCES,"	371,6Kcal","	16,5g",-,"	51,15g",-,"	4,6g",-,-
Saida,CHOCOLAT,CHOCOLAT EN POUDRE,"	371,6Kcal","	16,5g",-,"	51,15g",-,"	4,6g",-,-
Saida,CHOCOLAT,CACAO EN POUDRE,"	371,6Kcal","	16,5g",-,"51,15g",-,"4,6g",-,-
Saida,CHOCOLAT,HAPPYFULL RINGS,	372 Kcal,0,-,	93 g,58 g,0,        0.33 g,-
Saida,CHOCOLAT,CHOCOLINE BOITE 300G,	375Kcal,"	3,07g",-,"50,07g",-,"6,55g",-,300 g
Saida,CHOCOLAT,HAPPYFULL CROCO / HAPPYFULL EGGZZZ ,	381 Kcal ,0,-,86g,	55g,	7g,0,-
Saida,CHOCOLAT,HAPPYFULL SPIDER / HAPPYFULL WORMS,	381 Kcal ,0,-,86g,	55g,	7g,0,-
Saida,BISCUITS,BREAK CLASSIC CHOCOLAT,	381Kcal,"	17,8g",-,"51,2g",-,4g,-,-
