Job Title,Salary Estimate,Rating,Company Name,Location,Size,Sector,Revenue
Data Analyst,$100K-$152K (Glassdoor est.),,Cyclex Systems,"Austin, TX",,,
Research Scientist,$100K-$152K (Glassdoor est.),,Newormics LLC,"Austin, TX",,,
Data Engineer,$100K-$152K (Glassdoor est.),3.8,"Pilytix, LLC
3.8","Austin, TX",1 to 50 employees,,Unknown / Non-Applicable
Junior Data Analyst,$100K-$152K (Glassdoor est.),2.6,"Santanna Energy Services
2.6","Austin, TX",1 to 50 employees,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable
Senior Data Scientist - Nationwide Opportunities,$100K-$152K (Glassdoor est.),3.9,"Amazon
3.9","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Analyst (Ryan White),$37K-$75K (Glassdoor est.),4.7,"AIDS Healthcare Foundation
4.7","Los Angeles, CA",1001 to 5000 employees,Health Care,$1 to $2 billion (USD)
Medical Laboratory Scientist (MLS),$84K-$101K (Glassdoor est.),4.1,"APN Staffing & Employment Solutions
4.1","Gilbert, AZ",1 to 50 employees,Business Services,$500 million to $1 billion (USD)
Data Engineer,$100K-$152K (Glassdoor est.),3.5,"Atos Syntel Inc.
3.5","Austin, TX",10000+ employees,Information Technology,$1 to $2 billion (USD)
"Data Analyst, Lead",$100K-$152K (Glassdoor est.),3.8,"Booz Allen Hamilton Inc.
3.8","Austin, TX",10000+ employees,Business Services,$5 to $10 billion (USD)
Microsoft Analytics Consultant,$100K-$152K (Glassdoor est.),3.7,"IBM
3.7","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Analyst,$100K-$152K (Glassdoor est.),3.5,"Robert Half
3.5","Austin, TX",10000+ employees,Business Services,$2 to $5 billion (USD)
Machine Learning Engineer (Imaging),$100K-$152K (Glassdoor est.),3.6,"Samsung Electronics
3.6","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk",$100K-$152K (Glassdoor est.),4.1,"Apple
4.1","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Data Engineer II - ETL Engineer - Spectrum Enterprise,$100K-$152K (Glassdoor est.),2.9,"Spectrum
2.9","Austin, TX",10000+ employees,Telecommunications,$10+ billion (USD)
Strategic Data Analyst III - Strategic Planning Divsion,$100K-$152K (Glassdoor est.),3.9,"TxDOT
3.9","Austin, TX",10000+ employees,Government,Unknown / Non-Applicable
Machine Learning Engineer - Online Retail Analytics,$100K-$152K (Glassdoor est.),4.1,"Apple
4.1","Austin, TX",10000+ employees,Information Technology,$10+ billion (USD)
Learning and Development Business Intelligence Analyst,$100K-$152K (Glassdoor est.),4.5,"Rose International
4.5","Austin, TX",1001 to 5000 employees,Business Services,$100 to $500 million (USD)
Senior Data Scientist,$100K-$152K (Glassdoor est.),3.4,"Ultra Electronics, Advanced Tactical Systems
3.4","Austin, TX",1001 to 5000 employees,Aerospace & Defense,$500 million to $1 billion (USD)
Live Operations Data Analyst,$100K-$152K (Glassdoor est.),3.8,"Wargaming
3.8","Austin, TX",1001 to 5000 employees,Media,Unknown / Non-Applicable
Junior Data Engineer,$100K-$152K (Glassdoor est.),3.5,"ISHPI Information Technologies
3.5","Austin, TX",201 to 500 employees,Information Technology,$50 to $100 million (USD)
"Data Engineer, Apple Media Products",$102K-$179K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Associate Data Engineer,$100K-$152K (Glassdoor est.),3.2,"Scientific Games
3.2","Austin, TX",5001 to 10000 employees,Information Technology,$2 to $5 billion (USD)
Geospatial Software Developer and Data Scientist,$100K-$152K (Glassdoor est.),3.8,"Applied Research Laboratories
3.8","Austin, TX",501 to 1000 employees,Education,Unknown / Non-Applicable
Senior Data Scientist,$100K-$152K (Glassdoor est.),,ARDOR IT SOLUTIONS,"Austin, TX",51 to 200 employees,Information Technology,Unknown / Non-Applicable
DATA ENGINEER,$100K-$152K (Glassdoor est.),2.9,"Clinicient
2.9","Austin, TX",51 to 200 employees,Information Technology,$10 to $25 million (USD)
Data Analyst - People Analytics,$100K-$152K (Glassdoor est.),4.7,"OnlineMedEd
4.7","Austin, TX",51 to 200 employees,Education,Unknown / Non-Applicable
Data Engineer,$100K-$152K (Glassdoor est.),3.2,"Phunware, Inc
3.2","Austin, TX",51 to 200 employees,Information Technology,$25 to $50 million (USD)
Data Engineer,$100K-$152K (Glassdoor est.),4.7,"SADA
4.7","Austin, TX",51 to 200 employees,Information Technology,$50 to $100 million (USD)
Junior Data Analyst,$100K-$152K (Glassdoor est.),5,"Staffigo Technical Services, LLC
5.0","Austin, TX",51 to 200 employees,Information Technology,$50 to $100 million (USD)
Product Manager - Data Science,$100K-$152K (Glassdoor est.),3.9,"The Zebra
3.9","Austin, TX",51 to 200 employees,Insurance,Unknown / Non-Applicable
Data Scientist,$100K-$163K (Glassdoor est.),3.8,"Dash Technologies Inc
3.8","Columbus, OH",1 to 50 employees,,Unknown / Non-Applicable
Data Scientist,$100K-$163K (Glassdoor est.),3.6,"Kognetics
3.6","Gahanna, OH",1 to 50 employees,,Unknown / Non-Applicable
Data Scientist/Engineer,$100K-$163K (Glassdoor est.),4.9,"Seamless AI
4.9","Columbus, OH",1 to 50 employees,Information Technology,Unknown / Non-Applicable
Federal - Data Scientist,$100K-$163K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","Columbus, OH",1 to 50 employees,Information Technology,$10 to $25 million (USD)
"Data Scientist/Programmer, Sr. Analyst - Abbott Nutrition - Columbus, OH",$100K-$163K (Glassdoor est.),3.6,"Abbott Laboratories
3.6","Columbus, OH",10000+ employees,Health Care,$10+ billion (USD)
Junior Data Scientist,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Data Scientist/Modeler,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Data Scientist,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Forensic Genomics Research Scientist,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Data Scientist II,$100K-$163K (Glassdoor est.),3.1,"Battelle
3.1","Columbus, OH",10000+ employees,Business Services,$5 to $10 billion (USD)
Marketing Data Scientist,$100K-$163K (Glassdoor est.),3.3,"DSW
3.3","Columbus, OH",10000+ employees,Retail,$2 to $5 billion (USD)
Quantum Data Scientist (Industrial-Process sector),$100K-$163K (Glassdoor est.),3.7,"IBM
3.7","Columbus, OH",10000+ employees,Information Technology,$10+ billion (USD)
Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$100K-$163K (Glassdoor est.),3.5,"Internal Revenue Service
3.5","Columbus, OH",10000+ employees,Government,Unknown / Non-Applicable
Data Scientist Associate Sr (DADS06) CCB ML & AI,$100K-$163K (Glassdoor est.),3.9,"JPMorgan Chase
3.9","Columbus, OH",10000+ employees,Finance,$10+ billion (USD)
Data Scientist Sr. Associate - SALES SCIENCE,$100K-$163K (Glassdoor est.),3.9,"JPMorgan Chase & Co.
3.9","Columbus, OH",10000+ employees,Finance,$10+ billion (USD)
"Machine Learning Engineer - Fraud Engineering, Algorithms, and Risk",$102K-$179K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Research Scientist,$100K-$163K (Glassdoor est.),3.9,"The Ohio State University Wexner Medical Center
3.9","Columbus, OH",10000+ employees,Health Care,Unknown / Non-Applicable
Data Scientist,$100K-$163K (Glassdoor est.),3.1,"CAS
3.1","Columbus, OH",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
Data Analyst,$100K-$163K (Glassdoor est.),3.5,"Olive
3.5","Columbus, OH",201 to 500 employees,Information Technology,Unknown / Non-Applicable
Data Analyst,$100K-$163K (Glassdoor est.),3.6,"ROSEN USA
3.6","Columbus, OH",201 to 500 employees,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD)
Data Scientist,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Data Scientist (Analytics),$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Machine Learning Engineer,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Senior Data Scientist,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Data Science Manager,$100K-$163K (Glassdoor est.),4.2,"Upstart
4.2","Columbus, OH",201 to 500 employees,Finance,Unknown / Non-Applicable
Video Coding & Machine Learning Engineer,$102K-$179K (Glassdoor est.),4.1,"Apple
4.1","Santa Clara, CA",10000+ employees,Information Technology,$10+ billion (USD)
Data Scientist *,$100K-$163K (Glassdoor est.),3.8,"Root Insurance
3.8","Columbus, OH",501 to 1000 employees,Insurance,$100 to $500 million (USD)
Data Scientist,$100K-$163K (Glassdoor est.),2.5,"Avacend, Inc.
2.5","Columbus, OH",51 to 200 employees,Business Services,Unknown / Non-Applicable
"Data Scientist, Analytics Architecture",$100K-$163K (Glassdoor est.),4.8,"Immuta
4.8","Columbus, OH",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Research Scientist - Data Science and Risk Analysis,$100K-$163K (Glassdoor est.),4.8,"Immuta
4.8","Columbus, OH",51 to 200 employees,Information Technology,Unknown / Non-Applicable
Erwin Data Modeler,$100K-$172K (Glassdoor est.),,Callibus Inc,"Irving, TX",,,
Sr. Data Architect (contract-to-hire),$100K-$172K (Glassdoor est.),,RedRiver Systems L.L.C.,"Irving, TX",,,
Data Engineer/Irving TX/6+ months Contract,$100K-$172K (Glassdoor est.),,"Suncap Technology, Inc.","Irving, TX",,,
Principal Data ScientistFoundational Algorithm CRM Email,$100K-$172K (Glassdoor est.),4.4,"Ava Consulting
4.4","Dallas, TX",1 to 50 employees,Information Technology,Less than $1 million (USD)
IT Data Engineer,$100K-$172K (Glassdoor est.),,Incendia Partners,"Irving, TX",1 to 50 employees,Business Services,Less than $1 million (USD)
Federal - Data Engineer - Senior,$100K-$172K (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","Irving, TX",1 to 50 employees,Information Technology,$10 to $25 million (USD)
Digital SW Eng Lead/Data Engineer,$100K-$172K (Glassdoor est.),3.4,"TECHNOCRAFT Solutions
3.4","Irving, TX",1 to 50 employees,Business Services,$1 to $5 million (USD)
Senior Data Engineer with Kafka-Yarn-Spark-HDFS and HIVE,$100K-$172K (Glassdoor est.),3.8,"Terminal Contacts LLC
3.8","Irving, TX",1 to 50 employees,Information Technology,Unknown / Non-Applicable
"Director, Network Optimization & Data Sciences",$100K-$172K (Glassdoor est.),3.2,"7-Eleven, Inc.
3.2","Irving, TX",10000+ employees,Retail,$1 to $2 billion (USD)
Sr. Big Data Engineer,$100K-$172K (Glassdoor est.),3.4,"Allstate
3.4","Irving, TX",10000+ employees,Insurance,$10+ billion (USD)
Senior. Data Engineer - Informatica,$100K-$172K (Glassdoor est.),3.6,"Charles Schwab Corporation
3.6","Westlake, TX",10000+ employees,Finance,$5 to $10 billion (USD)
Cyber Security Research Scientist 3 - Sr. Application Pentester,$100K-$172K (Glassdoor est.),3.6,"Wells Fargo
3.6","Irving, TX",10000+ employees,Finance,$10+ billion (USD)
Web Analytics Manager,$100K-$172K (Glassdoor est.),3.1,"Ace Cash Express
3.1","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Business Analyst/Data Consultant,$100K-$172K (Glassdoor est.),3.8,"Apex Systems
3.8","Irving, TX",1001 to 5000 employees,Business Services,$2 to $5 billion (USD)
Full Stack Data Engineer Irving AVP/C12,$100K-$172K (Glassdoor est.),3.8,"Citibank
3.8","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Cloud Data Engineer,$100K-$172K (Glassdoor est.),2.5,"Cottonwood Financial
2.5","Irving, TX",1001 to 5000 employees,Finance,Unknown / Non-Applicable
Sr. Data Engineer,$100K-$172K (Glassdoor est.),2.9,"Hilltop Holdings, Inc.
2.9","Irving, TX",1001 to 5000 employees,Finance,$1 to $2 billion (USD)
Data Modeler (Healthcare Claims),$100K-$172K (Glassdoor est.),3.2,"Net2Source
3.2","Irving, TX",1001 to 5000 employees,Business Services,$100 to $500 million (USD)
Sr. Data Engineer,$100K-$172K (Glassdoor est.),3,"Photon Infotech
3.0","Irving, TX",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
Sr Data Engineer,$100K-$172K (Glassdoor est.),3,"Photon Infotech
3.0","Irving, TX",1001 to 5000 employees,Information Technology,$100 to $500 million (USD)
